Image_no,,,,,,,Folder_No,,,,Pred_x,pred_y,Pred_label,Manual_label
1,0,0,11,11,6,10,1,1,0,0,2.247399807,-6.4475073814,L,R
2,0,0,11,11,6,10,1,1,0,0,1.1855560541,-6.9507498741,R,R
3,0,0,11,11,8,12,1,1,0,0,1.1763170958,-6.668487072,R,R
4,0,0,11,11,8,12,1,1,0,0,2.3597846031,-4.819278717,L,R
5,0,0,11,11,8,12,1,1,0,0,3.392352581,-5.0804791451,L,R
6,0,0,11,11,8,12,1,1,0,0,2.680366993,-4.3705430031,L,R
7,0,0,11,11,8,12,1,1,0,0,2.5759520531,-4.9004702568,L,R
8,0,0,11,11,8,12,1,1,0,0,2.9361486435,-7.8290052414,L,L
9,0,0,11,11,8,12,1,1,0,0,4.7176465988,-7.5555915833,L,L
10,0,0,11,11,8,12,1,1,0,0,2.9811654091,-6.000480175,L,L
11,0,0,11,11,8,12,1,1,0,0,3.1551728249,-3.7332837582,L,L
12,0,0,11,11,8,12,1,1,0,0,4.0700092316,-6.9938597679,L,L
13,0,0,11,11,8,12,1,1,0,0,6.3204698563,-8.9055290222,L,L
14,0,0,11,11,8,12,1,1,0,0,2.4761872292,-5.1641488075,L,R
15,0,0,11,11,8,12,1,1,0,0,3.3411998749,-7.453769207,L,R
16,0,0,11,11,8,12,1,1,0,0,5.5603790283,-7.4184679985,L,L
17,0,0,11,11,8,12,1,1,0,0,2.9654531479,-6.8673167229,L,L
18,0,0,11,11,8,12,1,1,0,0,4.3084363937,-4.8693060875,L,L
19,0,0,11,11,8,12,1,1,0,0,4.7710809708,-8.1298789978,L,L
20,0,0,11,11,8,12,1,1,0,0,3.6357011795,-10.7997531891,L,L
21,0,0,11,11,8,12,1,1,0,0,3.6367788315,-9.1899833679,L,L
22,0,0,11,11,8,12,1,1,0,0,4.7311558723,-9.4623565674,L,L
23,0,0,11,11,8,12,1,1,0,0,8.3022279739,-9.969575882,L,L
24,0,0,11,11,8,12,1,1,0,0,7.7180967331,-11.0529527664,L,L
25,0,0,11,11,8,12,1,1,0,0,4.0191431046,-4.290430069,L,L
26,0,0,11,11,8,12,1,1,0,0,5.283686161,-5.8259534836,L,L
27,0,0,11,11,8,12,1,1,0,0,6.4766626358,-5.8888239861,L,L
28,0,0,11,11,8,12,1,1,0,0,6.4863796234,-5.6589045525,L,L
29,0,0,11,11,8,12,1,1,0,0,6.8272647858,-5.5371584892,L,L
30,0,0,11,11,8,12,1,1,0,0,5.7675290108,-8.3887386322,L,L
31,0,0,11,11,8,12,1,1,0,0,4.3316774368,-8.6981620789,L,L
32,0,0,11,11,8,12,1,1,0,0,1.0268770456,-6.6888957024,R,L
33,0,0,11,11,8,12,1,1,0,0,1.6128013134,-8.0581159592,R,L
34,0,0,11,11,8,12,1,1,0,0,1.2883181572,-6.364320755,R,L
35,0,0,11,11,8,12,1,1,0,0,4.6018123627,-6.9366292953,L,L
36,0,0,11,11,8,12,1,1,0,0,5.1320338249,-9.4153394699,L,L
37,0,0,11,11,8,12,1,1,0,0,8.0037784576,-10.7513275146,L,L
38,0,0,11,11,8,12,1,1,0,0,6.2627801895,-9.1256904602,L,L
39,0,0,11,11,8,12,1,1,0,0,8.3560428619,-12.0738677979,L,L
40,0,0,11,11,8,12,1,1,0,0,7.6389360428,-10.2716646194,L,L
41,0,0,11,11,8,12,1,1,0,0,7.0807294846,-11.2462596893,L,L
42,0,0,11,11,8,12,1,1,0,0,6.8297829628,-10.5294446945,L,L
43,0,0,11,11,8,12,1,1,0,0,6.0591101646,-9.9788370132,L,L
44,0,0,11,11,8,12,1,1,0,0,6.4805288315,-9.8198394775,L,L
45,0,0,11,11,8,12,1,1,0,0,6.4058918953,-10.3292350769,L,L
46,0,0,11,11,8,12,1,1,0,0,5.8145189285,-8.9102706909,L,L
47,0,0,11,11,8,12,1,1,0,0,7.1053195,-11.4526939392,L,L
48,0,0,11,11,8,12,1,1,0,0,5.9340796471,-10.1182403564,L,L
49,0,0,11,11,8,12,1,1,0,0,6.6928067207,-8.1302852631,L,L
50,0,0,11,11,8,12,1,1,0,0,6.3150730133,-6.9111771584,L,L
51,0,0,11,11,8,12,1,1,0,0,7.1803035736,-10.0477561951,L,L
52,0,0,11,11,8,12,1,1,0,0,2.9804959297,-6.2834868431,L,R
53,0,0,11,11,8,12,1,1,0,0,1.5835806131,-5.6401124001,R,R
54,0,0,11,11,8,12,1,1,0,0,2.8006052971,-6.1444945335,L,R
55,0,0,11,11,8,12,1,1,0,0,6.9832248688,-7.6180596352,L,L
56,0,0,11,11,8,12,1,1,0,0,5.5653896332,-8.3889560699,L,L
57,0,0,11,11,8,12,1,1,0,0,5.645190239,-9.0624265671,L,L
58,0,0,11,11,8,12,1,1,0,0,5.2029953003,-6.8270606995,L,L
59,0,0,11,11,8,12,1,1,0,0,6.4311037064,-7.8029551506,L,L
60,0,0,11,11,8,12,1,1,0,0,4.975985527,-7.4605488777,L,L
61,0,0,11,11,8,12,1,1,0,0,5.5266480446,-6.2775588036,L,L
62,0,0,11,11,8,12,1,1,0,0,5.366314888,-6.4305229187,L,L
63,0,0,11,11,8,12,1,1,0,0,2.3784708977,-6.8664259911,L,R
64,0,0,11,11,8,12,1,1,0,0,2.4924783707,-8.4525318146,L,R
65,0,0,11,11,8,12,1,1,0,0,1.8735378981,-6.881541729,R,R
66,0,0,11,11,8,12,1,1,0,0,1.8458474874,-6.1275839806,R,R
67,0,0,11,11,8,12,1,1,0,0,2.7898259163,-6.0373644829,L,R
68,0,0,11,11,8,12,1,1,0,0,3.1322278976,-7.129108429,L,R
69,0,0,11,11,8,12,1,1,0,0,2.6529407501,-6.5958275795,L,R
70,0,0,11,11,8,12,1,1,0,0,2.9474754333,-6.4177789688,L,R
71,0,0,11,11,8,12,1,1,0,0,2.6178770065,-6.9628033638,L,R
72,0,0,11,11,8,12,1,1,0,0,3.9244728088,-8.5668268204,L,L
73,0,0,11,11,8,12,1,1,0,0,4.7019281387,-7.2931671143,L,L
74,0,0,11,11,8,12,1,1,0,0,5.8540167809,-6.7222981453,L,L
75,0,0,11,11,8,12,1,1,0,0,5.813952446,-8.2439622879,L,L
76,0,0,11,11,8,12,1,1,0,0,4.9901618958,-7.9304986,L,L
77,0,0,11,11,8,12,1,1,0,0,5.0673761368,-7.085665226,L,L
78,0,0,11,11,8,12,1,1,0,0,4.950838089,-8.8130817413,L,L
79,0,0,11,11,8,12,1,1,0,0,4.7798299789,-8.4789848328,L,L
80,0,0,11,11,8,12,1,1,0,0,4.8313136101,-8.6447925568,L,L
81,0,0,11,11,8,12,1,1,0,0,6.1490154266,-9.292181015,L,L
82,0,0,11,11,8,12,1,1,0,0,5.0239534378,-9.4468612671,L,L
83,0,0,11,11,8,12,1,1,0,0,6.0607433319,-9.7183036804,L,L
84,0,0,11,11,8,12,1,1,0,0,6.2401914597,-6.6280684471,L,L
